"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
1a84e510-5242-4251-8d21-65f3e09fa06d,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",9fc41f78-ec46-4d9c-bce6-827947e4ea66,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",b3dd92cb-c3d1-46a8-bba5-5d3192667b2f,"#N/A","#N/A",250.0,379c0e69-630b-4e20-a315-8de828417aed,false,1.0,"#N/A",false,false,"#N/A",false,Component,"#N/A",false
1a8e97ca-9c3b-4afa-8c5c-059f8dd9a47b,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",fbc7c106-1656-4ada-b118-d6120c440f4a,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dd57081c-1b30-453e-8063-33f0f80e914b,"#N/A","#N/A",5.0,78aea175-4db2-4ae6-9c0c-162410d6b2de,true,2.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
1b282285-51bd-4d99-a33a-abf27941c7bf,On Selection,true,false,"#N/A","#N/A","#N/A","#N/A",d848489d-7cfc-45fe-a771-4e5b31b72730,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",dcfaa9e3-d469-4713-92b4-e4e978c0fda8,"#N/A","#N/A",370.0,90377108-5ba6-4268-ba89-a9403900fe92,true,1.0,Always,false,false,"#N/A",false,Component,"#N/A",false
1b4ba8ab-103e-4b08-8814-24a41eb8fc08,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",7d8fd83a-3d80-4756-b648-594ccc121da5,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",8c2f72d4-7cd4-40b0-876b-33d2bb22e2c4,"#N/A","#N/A",300.0,02448bcb-69fc-4959-9581-1354734c2073,false,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
1b612a47-3b29-44e4-94f7-43db930e4121,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",becfbcf2-6d13-43a5-b01c-d91448aa9d3f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",6cac37af-3c6d-41c2-b8d3-d6fcbbd84aa5,"#N/A","#N/A",720.0,e048e37f-4c6d-4578-bcd2-5728513dc7cd,true,1.0,Always,false,false,"#N/A",false,Component,"#N/A",false
1b91fd85-501e-4457-bced-5f06e2415e75,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",0b36f063-3e63-4b8b-92ef-10f5bd01e414,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",f195b0c8-c023-4358-a52e-f5bd844ecae0,"#N/A",1.0,10.0,10bcae60-4228-4e65-8b14-ad79955389bb,true,1.0,"#N/A",true,false,"#N/A",false,Component,"#N/A",false
1bd495db-1b00-4370-b593-a48159f002ad,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",7d8fd83a-3d80-4756-b648-594ccc121da5,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",e47f51a0-fbd0-4be2-a3c8-3b2c35d327a3,"#N/A","#N/A",520.0,da1ff384-7e18-478c-b2ae-79084766d878,true,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
1c315ea7-ec15-4164-ac27-41a50b3905b0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",8add0539-54b0-4241-93f1-053e4121546e,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",742a9ff6-7ee4-4392-a541-372b1659499a,"#N/A","#N/A",560.0,b70e9e81-8de6-4f0f-aefa-3d87be4598f3,true,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
1d965877-921d-48c1-af0f-695f2fd7e1ef,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",becfbcf2-6d13-43a5-b01c-d91448aa9d3f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",47c9158f-0dd1-4808-94bf-20594d776e43,"#N/A","#N/A",510.0,54313715-2e8f-4b74-93f6-893f9c2b2b79,true,1.0,Always,false,true,"#N/A",false,Component,"#N/A",false
1d99f82e-0abc-456f-864f-c4e752ad18af,Always,true,false,"#N/A","#N/A","#N/A","#N/A",becfbcf2-6d13-43a5-b01c-d91448aa9d3f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",42d53576-d5bb-4ab5-8608-f7399415318b,"#N/A","#N/A",230.0,571eb8dc-bba2-4b51-b7ec-8c84c1a72a1b,true,1.0,Always,false,false,"#N/A",false,Component,"#N/A",false
